ICAO,NAME
AUL,Aeroflot-Nord
FNO,Aeroflota Del Noroeste
FRT,Aerofreight Airlines
FCO,Aerofrisco
AEG,Aerofumigaciones Sam
AGQ,Aerogala
GAU,Aerogaucho
GCK,Aerogem Cargo
OGI,Aerogisa
RWY,Aerogroup 98 Limited
HEI,Aerohein
ING,Aeroingenieria
ROO,Aeroitalia
JAD,Aerojal
ARJ,"Aerojet de Costa Rica, S.A."
JOB,Aerojobeni
KLZ,Aerokaluz
NKZ,Aerokuzbass
LGN,Aerolaguna
AEN,Aeroland Airways
LFT,Aerolift Company
LMA,Aerolima
LIN,Aerolimousine
AWU,Aeroline GmbH
ANQ,Aerolínea de Antioquia
MUR,Aerolinea Muri
LDG,Aerolineas Aereas Ejecutivas De Durango
MNE,Aerolineas Amanecer
ARG,Aerolíneas Argentinas
BNZ,Aerolineas Bonanza
PFI,Aerolineas Chihuahua
ECM,Aerolineas Comerciales
SZA,Aerolíneas de El Salvador
MOR,Aerolineas De Morelia
RPC,Aerolineas Del Pacifico
DLU,Aerolineas Del Sur
SUE,Aerolineas Del Sureste
ADM,Aerolineas Dominicanas
LET,Aerolíneas Ejecutivas
ESU,Aerolineas Ejecutivas Del Sureste
RSC,Aerolineas Ejecutivas Tarascas
LNT,Aerolineas Internacionales
MCO,Aerolineas Marcos
AMD,Aerolineas Medellin
LMX,Aerolineas Mexicanas J S
EDA,Aerolineas Nacionales Del Ecuador
OLV,Aerolineas Olve
APP,"Aerolineas Pacifico Atlantico, S.A. (Apair)"
RCQ,Aerolineas Regionales
SOD,Aerolineas Sol
NSO,Aerolineas Sosa
TTB,Aerolineas Turisticas del Caribe
AUY,"Aerolineas Uruguayas, S.A."
VLR,Aerolineas Villaverde
SLI,Aerolitoral
LDL,Aerologic
ERM,Aeromaan
MGS,Aeromagar
TAO,Aeromar
ARM,Aeromarket Express
MSM,Aeromas
AXP,Aeromax
DIC,Aeromedica
AMQ,Aeromedicare Ltd.
OMG,Aeromega
MTE,Aeromet Linea Aerea
