ICAO,NAME
EFSO,Sodankyla Airport
EFTP,Tampere-Pirkkala Airport
EFTU,Turku Airport
EFUT,Utti Air Base
EFVA,Vaasa Airport
EFVR,Varkaus Airport
EFYL,Ylivieska Airport
EGAA,Belfast International Airport
EGAB,Enniskillen/St Angelo Airport
EGAC,George Best Belfast City Airport
EGAE,City of Derry Airport (Londonderry Eglinton Airport)
EGBB,Birmingham Airport
EGBE,Coventry Airport
EGBJ,Gloucester Airport
EGBK,Sywell Aerodrome
EGBN,Nottingham Airport
EGCC,Manchester Airport
EGCD,Manchester Woodford Airport
EGCN,Doncaster Sheffield Airport
EGDL,RAF Lyneham
EGDX,RAF St Athan
EGDY,RNAS Yeovilton
EGEC,Campbeltown Airport (RAF Machrihanish)
EGED,Eday Airport
EGEF,Fair Isle Airport
EGEH,Whalsay Airport
EGEL,Coll Airport
EGEN,North Ronaldsay Airport
EGEO,Oban Airport
EGEP,Papa Westray Airport
EGER,Stronsay Airport
EGES,Sanday Airport
EGET,Lerwick / Tingwall Airport
EGEW,Westray Airport
EGEY,Colonsay Airstrip
EGFE,Haverfordwest Aerodrome
EGFF,Cardiff Airport
EGFH,Swansea Airport
EGGD,Bristol Airport
EGGP,Liverpool John Lennon Airport
EGGW,Luton Airport
EGHC,Land's End Airport
EGHD,Plymouth City Airport
EGHE,St. Mary's Airport
EGHH,Bournemouth Airport
EGHI,Southampton Airport
EGHJ,Bembridge Airport
EGHL,Lasham Airfield
EGHQ,Cornwall Airport Newquay
EGHR,Goodwood Airfield
EGJA,Alderney Airport
EGJB,Guernsey Airport
EGJJ,Jersey Airport
EGKA,Shoreham Airport
EGKB,London Biggin Hill Airport
EGKK,Gatwick Airport
EGKR,Redhill Aerodrome
EGLC,London City Airport
EGLF,Farnborough Airport
EGLK,Blackbushe Airport
EGLL,Heathrow Airport
EGMC,London Southend Airport
EGMD,Lydd Airport
EGMH,Kent International Airport
EGNC,Carlisle Airport
EGNH,Blackpool International Airport
EGNJ,Humberside Airport
EGNL,Barrow/Walney Island Airfield
EGNM,Leeds Bradford Airport
EGNR,Hawarden Airport (Chester Airport)
EGNS,Isle of Man Airport
EGNT,Newcastle International Airport
EGNV,Teesside International Airport
EGNX,East Midlands Airport
EGOV,Anglesey Airport (Maes Awyr Môn) or RAF Valley
EGPA,Kirkwall Airport
EGPB,Sumburgh Airport
EGPC,Wick Airport
EGPD,Aberdeen Airport
EGPE,Inverness Airport
EGPF,Glasgow International Airport
EGPH,Edinburgh Airport
EGPI,Islay Airport
EGPK,Glasgow Prestwick International Airport
EGPL,Benbecula Airport
EGPM,Scatsta Airport
EGPN,Dundee Airport
EGPO,Stornoway Airport
EGPR,Barra Airport (Northbay Airport)
EGPT,Perth Airport
EGPU,Tiree Airport
EGPW,Unst Airport
EGQB,Bally Kelly Airport
EGQK,RAF Kinloss
EGQL,RAF Leuchars
EGQS,RAF Lossiemouth
EGSC,Cambridge Airport
EGSE,"Ipswich Airport ipw? Ipswich, England (closed 1996)"
EGSH,Norwich Airport
EGSS,London Stansted Airport
EGSU,Duxford Airport
EGSY,Sheffield City Airport
EGTE,Exeter Airport
EGTF,Fairoaks Airport
EGTG,Bristol Filton Airport
EGTK,Oxford (Kidlington) Airport
EGTO,Rochester Airport
EGUA,RAF Upper Heyford
EGUB,RAF Benson
EGUD,RAF Abingdon
EGUL,RAF Lakenheath
EGUN,RAF Mildenhall
EGUY,RAF Wyton
EGVA,RAF Fairford
EGVN,RAF Brize Norton
EGVO,RAF Odiham
EGVT,Wethersfield Airport
EGWA,Andover Airport
EGWU,RAF Northolt
EGWZ,RAF Alconbury
EGXC,RAF Coningsby
EGXH,RAF Honington
EGXJ,RAF Cottesmore
EGXP,RAF Scampton
EGXU,RAF Linton-On-Ouse
EGXW,RAF Waddington
EGYM,RAF Marham
EGYP,RAF Mount Pleasant
EHAM,Amsterdam Airport Schiphol
EHBK,Maastricht Aachen Airport
EHDL,Deelen Air Base
EHEH,Eindhoven Airport
EHGG,Groningen Airport Eelde
EHGR,Gilze Rijen Air Base
EHKD,De Kooy Airport
EHLE,Lelystad Airport
EHLW,Leeuwarden Air Base
EHRD,Rotterdam Airport
EHTW,Enschede Airport Twente
EHVK,Volkel Airport
EHWO,Woensdrecht Air Base
EHWO,Woensdrecht Air Base
EIBN,Bantry Airport
EIBT,Belmullet Airport
EICA,Connemara Regional Airport
EICB,Castlebar Airport
EICD,Castlebridge Airport
EICK,Cork International Airport
EICM,Galway Airport
EIDL,Donegal Airport
EIDW,Dublin Airport
EIIM,Inishmore Aerodrome
EIIR,Inisheer Aerodrome
EIKK,Kilkenny Airport
EIKN,Knock International Airport
EIKY,Kerry Airport
EILT,Letterkenny Airport
EIMN,Inishmaan Aerodrome
EINN,Shannon International Airport
EISG,Sligo Airport
EIWF,Waterford Airport
EK_4,Vejrø
EKAH,Aarhus Airport
EKBI,Billund Airport
EKCH,Copenhagen Airport
EKEB,Esbjerg Airport
EKKA,Karup Airport
EKLS,Læsø Airport
EKMB,Lolland Falster Maribo Airport
EKOD,Odense Airport
EKRK,Roskilde Airport
EKRN,Bornholm Airport
EKSB,Sønderborg Airport
EKSN,Sindal Airport
EKSP,Skrydstrup Airport
EKSV,Skive Airport
EKTS,Thisted Airport
EKVD,Vamdrup Airport
EKVG,Vágar Airport
EKVJ,Stauning Vestjylland Airport
EKYT,Aalborg Airport
ELLX,Luxembourg-Findel International Airport
ENAL,"Ålesund Airport, Vigra"
ENAN,"Andøya Airport, Andenes"
ENAT,Alta Airport
ENBL,"Førde Airport, Bringeland"
ENBN,"Brønnøysund Airport, Brønnøy"
ENBO,Bodø Airport
ENBR,Bergen Flesland Airport
ENBS,Båtsfjord Airport
ENBV,Berlevåg Airport
ENCN,"Kristiansand Airport, Kjevik"
ENDI,Dagali Airport
ENDU,Bardufoss Airport
ENEV,"Harstad/Narvik Airport, Evenes"
ENFG,"Fagernes Airport, Leirin"
ENFL,Florø Airport
ENGM,"Oslo Airport, Gardermoen"
ENHA,"Hamar Airport, Stafsberg"
ENHD,"Haugesund Airport, Karmøy"
ENHF,Hammerfest Airport
ENHK,Hasvik Airport
ENHV,"Honningsvåg Airport, Valan"
ENKA,Kautokeino Air Base
ENKB,"Kristiansund Airport, Kvernberget"
ENKL,"Gol Airport, Klanten,Norway"
ENKR,"Kirkenes Airport, Høybuktmoen"
ENLI,Lista Airport
ENLK,Leknes Airport
ENMH,Mehamn Airport
ENML,"Molde Airport, Årø"
ENMS,"Mosjøen Airport, Kjærstad"
ENNA,"Lakselv Airport, Banak"
ENNK,"Narvik Airport, Framnes"
ENNM,"Namsos Airport, Høknesøra"
ENNO,"Notodden Airport, Tuven,"
ENOL,Ørland Airport
ENOV,"Ørsta/Volda Airport, Hovden"
ENRA,"Mo i Rana Airport, Røssvoll"
ENRM,"Rørvik Airport, Ryum"
ENRO,Røros Airport
ENRS,Røst Airport
ENRY,Rygge Airport/Rygge Air Station
ENSA,"Stord Airport, Sørstokken"
ENSB,"Svalbard Airport, Longyear"
ENSD,"Sandane Airport, Anda"
ENSG,"Sogndal Airport, Haukåsen"
ENSH,"Svolvær Airport, Helle"
ENSK,"Stokmarknes Airport, Skagen"
ENSN,"Skien Airport, Geiteryggen"
ENSO,Stord Airport
ENSR,Sørkjosen Airport
ENSS,"Vardø Airport, Svartnes"
ENST,"Sandnessjøen Airport, Stokka"
ENTC,Tromsø Airport
ENTO,"Sandefjord Airport, Torp"
ENVA,"Trondheim Airport, Værnes"
ENVD,Vadsø Airport
ENVR,Værøy Heliport
ENZV,"Stavanger Airport, Sola"
EPBK,Bia?ystok-Krywlany Airport
EPBY,Bydgoszcz Ignacy Jan Paderewski Airport
EPCH,Cz?stochowa-Rudniki
EPGD,Gdansk Lech Walesa Airport
EPGL,Gliwice Glider Airport
EPKK,John Paul II International Airport
EPKO,Koszalin Zegrze Airport
EPKT,Katowice International Airport
EPKW,Bielsko-Bialo Kaniow Airfield
EPLL,?ód? W?adys?aw Reymont Airport
EPLR,Lublin Radwiec Airport
EPNT,Nowy Targ Airport
EPOK,Gdynia-Babie Do?y Air Base
EPOP,Opole-Polska Nowa Wie? Airport
EPPO,Pozna?-?awica Airport
EPRZ,Rzeszów-Jasionka Airport
EPSC,Solidarity Szczecin–Goleniów Airport
EPSY,Szczytno-Snationalrt
EPWA,Warsaw Chopin Airport
EPWR,Copernicus Airport Wroc?aw
EPZG,Zielona Góra Airport
ESDF,Ronneby Airport
ESFA,Hässleholm Bokeberg Airport
ESGG,Gothenburg-Landvetter Airport
ESGJ,Jönköping Airport
ESGL,Lidköping-Hovby Airport
ESGP,Gothenburg City Airport (formerly Säve Flygplats)
ESGR,Skövde Airport
ESGT,Trollhättan-Vänersborg Airport
ESKK,Karlskoga Airport
ESKM,Mora Airport
ESKN,Stockholm-Skavsta Airport
ESMK,Kristianstad Airport
ESMO,Oskarshamn Airport
ESMQ,Kalmar Airport
ESMS,Malmö-Sturup Airport
ESMT,Halmstad Airport
ESMX,Växjö Airport
ESND,Sveg Airport
ESNG,Gällivare Airport
ESNK,Kramfors Sollefteä Airport
ESNL,Lycksele Airport
ESNN,Sundsvall-Härnösand Airport (Midlanda Airport)
ESNO,Örnsköldsvik Airport
ESNQ,Kiruna Airport
ESNS,Skellefteä Airport
ESNU,Alvik Airport
ESNV,Vilhelmina Airport
ESNX,Arvidsjaur Airport
ESNY,Söderhamn Airport
ESNZ,Åre Östersund Airport
ESOE,Örebro Airport
ESOH,Hagfors Airport
ESOK,Karlstad Airport
ESOW,Stockholm-Västerås Airport
ESPA,Luleå Airport
ESSA,Stockholm-Arlanda Airport
ESSB,Stockholm-Bromma Airport
ESSD,Borlänge Airport (Dala Airport)
ESSF,Hultsfred Airport
ESSK,Gävle Sandviken Airport
ESSL,SAAB Airport
ESSP,Norrköping Airport
ESST,Torsby Airport
ESSU,Eskilstuna Airport
ESSV,Visby Airport
ESSW,Västervik Airport
ESTA,Ängelholm-Helsingborg Airport (former ICAO code: ESDB)
ESUD,Storuman Airport
ESUE,Idre Airport
ESUP,Pajala Airport
ESUT,Hemavan Airport
ETAD,Spangdahlem Air Base
ETAR,Ramstein Air Base
ETEJ,Bamberg-Breitenau Airport
ETHC,Celle Airport
ETHE,Rheine Air Base
ETHF,Fritzlar Airport
ETID,Hanau Army Air Field
ETIE,Heidelberg AAF
ETMN,Nordholz Airport
ETNG,NATO Air Base Geilenkirchen
ETNL,Rostock Laage Airport
ETNN,Norvenich Airport
ETNS,Schleswig Airport
ETNU,Neubrandenburg Airport
ETOU,Wiesbaden Army Airfield
ETSF,Fürstenfeldbruck Airport
ETSI,Ingolstadt Manching Airport
ETUO,Gütersloh Airport
ETUR,RAF Brüggen
EVDA,Daugavpils Airport
EVLA,LiepÄ?ja International Airport
EVRA,Riga International Airport
EVVA,Ventspils International Airport
EYKA,Kaunas International Airport
EYKL,Klaipeda Airport
EYPA,Palanga International Airport
EYPP,PanevÄ—Å¾ys Air Base
EYSA,Šiauliai International Airport
EYSB,Barysiai Airport
EYVI,Vilnius International Airport
FAAB,Kortdoorn Airport
FAAG,Aggeneys Airport
FAAL,Alldays Airport
FABE,Bisho Airport
FABL,Bloemfontein Airport
FABU,Butterworth Airport
FACD,Cradock Airport
FACT,Cape Town International Airport
FADK,Mubatuba Airport
FADN,Durban International Airport (formerly Louis Botha Airport)
FADQ,Zulu Inyala Airport
FAEL,East London Airport
FAEM,Empangeni Airport
FAER,Ellisras Matimba Airport
FAFB,Ficksburg Sentraoes Airport
FAGC,Grand Central Airport
FAGG,George Airport
FAGI,Giyani Airport
FAGM,Rand Airport
FAHL,Hluhluwe Airport
FAHR,Harrismith Airport
FAHS,Hoedspruit Air Force Base Airport
FAKD,P C Pelser Airport
FAKM,Kimberley Airport
FAKN,Kruger Mpumalanga International Airport
FAKP,Komatipoort Airport
FAKU,Johan Pienaar Airport
FAKZ,Kleinsee Airport
FALA,Lanseria Airport
FALC,Lime Acres Finsch Mine Airport
FALD,Londolozi Airport
FALE,King Shaka International Airport
FALK,Lusikisiki Airport
FALO,Louis Trichardt Airport
FALW,Langebaanweg Airport
FALY,Ladysmith Airport
FAMD,Mala Mala Airport
FAMG,Margate Airport
FAMM,Mmabatho International Airport
FAMN,Riverside Airport
FAMO,Mossel Bay Airport
FAMS,Morningside Farm Airport
FAMU,Mkuze Airport
FANC,Newcastle Airport
FANG,Ngala Airport
FANS,Nelspruit Airport
FAOB,Overberg Airport
FAOH,Oudtshoorn Airport
FAOR,OR Tambo International Airport
FAPA,Port Alfred Airport
FAPE,Port Elizabeth Airport
FAPG,Plettenberg Bay Airport
FAPH,Hendrik Van Eck Airport
FAPI,Pietersburg Municipal Airport
FAPJ,Port St Johns Airport
FAPK,Prieska Airport
FAPM,Pietermaritzburg Airport
FAPN,Pilanesberg International Airport
FAPP,Polokwane International Airport
FAPS,Potchefstroom Airport
FAQT,Queenstown Airport
FARB,Richards Bay Airport
FARI,Reivilo Airport
FARS,Robertson Airport
FASB,Springbok Airport
FASC,Secunda Airport
FASD,Saldanha /Vredenburg Airport
FASE,Sabi Sabi Airport
FASS,Sishen Airport
FASZ,Skukuza Airport
FATH,Thohoyandou Airport
FATN,Thaba Nchu Tar Airport
FATZ,Tzaneen Airport
FAUL,Prince Mangosuthu Buthelezi Airport
FAUP,Upington Airport
FAUT,K. D. Matanzima Airport
FAVB,Vryburg Airport
FAVG,Virginia Airport
FAVR,Vredendal Airport
FAVY,Vryheid Airport
FAWB,Wonderboom Airport
FAWK,Waterkloof Air Force Base Airport
FAWM,Welkom Airport
FBFT,Francistown Airport
FBGZ,Ghanzi Airport
FBJW,Jwaneng Airport
FBKE,Kasane Airport
FBKR,Khwai River Lodge Airport
FBMN,Maun Airport
FBOR,Orapa Airport
FBPY,Palapye Airport
FBSK,Sir Seretse Khama International Airport
FBSN,Sua Pan Airport
FBSP,Selebi Phikwe Airport
FBSW,Shakawe Airport
FBTL,Limpopo Valley Airport
FBTS,Tshabong Airport
FCBB,Maya Maya Airport
FCBD,Djambala Airport
FCBK,Kindamba Airport
FCBL,Lague Airport
FCBM,Mouyondzi Airport
FCBS,Sibiti Airport
FCBY,Yokangassi Airport
FCBZ,Zanaga Airport
FCMM,Mossendjo Airport
FCOB,Boundji Airport
FCOE,Ewo Airport
FCOG,Gamboma Airport
FCOI,Impfondo Airport
FCOK,Kelle Airport
FCOM,Makoua Airport
FCOO,Owando Airport
FCOS,Souanke Airport
FCOT,Betou Airport
FCOU,Ouesso Airport
FCPA,Makabana Airport
FCPL,Loubomo Airport
FCPP,Pointe Noire Airport
FDMS,Matsapha Airport
FEFC,Carnot Airport
FEFF,Bangui M'Poko International Airport
FEFG,Bangassou Airport
FEFI,Birao Airport
FEFL,Bossembélé Airport
FEFM,Bambari Airport
FEFN,N'Délé Airport
FEFO,Bouar Airport
FEFR,Bria Airport
FEFS,Bossangoa Airport
FEFT,Berbérati Airport
FEFW,Ouadda Airport
FEFY,Yalinga Airport
FEFZ,Zemio Airport
FEGE,M'Boki Airport
FEGF,Batangafo Airport
FEGL,Gordil Airport
FEGM,Bakouma Airport
FEGO,Ouanda Djallé Airport
FEGR,Rafaï Airport
FEGU,Bouca Airport
FEGZ,Bozoum Airport
FGBT,Bata Airport
FGSL,Malabo International Airport (Saint Isabel Airport)
FHAW,Wideawake Field
FIMP,Sir Seewoosagur Ramgoolam International Airport
FIMR,Plaine Corail Airport
FJDG,Diego Garcia Naval Support Facility
FKAN,Nkongsamba Airport
FKKB,Kribi Airport
FKKC,Tiko Airport
FKKD,Douala Airport
FKKF,Mamfe Airport
FKKG,Bali Airport
FKKH,Kaélé Airport
FKKI,Batouri Airport
FKKJ,Yagoua Airport
FKKL,Salak Airport
FKKM,Foumban Nkounja Airport
FKKN,N'Gaoundéré Airport
FKKO,Bertoua Airport
FKKR,Garoua International Airport
FKKS,Dschang Airport
FKKU,Bafoussem Airport
FKKV,Bamenda Airport
FKKW,Ebolowa Airport
FKKY,Yaoundé Airport
FKYS,Yaoundé Nsimalen International Airport
FLBA,Mbala Airport
FLCP,Chipata Airport
FLKE,Kasompe Airport
FLKL,Kalabo Airport
FLKO,Kaoma Airport
FLKS,Kasama Airport
FLKY,Kasaba Bay Airport
FLLI,Livingstone Airport
FLLK,Lukulu Airport
FLLS,Lusaka International Airport
FLMA,Mansa Airport
FLMF,Mfuwe Airport
FLMG,Mongu Airport
FLNA,Ngoma Airport
FLND,Ndola Airport
FLSN,Senanga Airport
FLSO,Southdowns Airport
FLSS,Sesheke Airport
FLSW,Solwesi Airport
FLZB,Zambezi Airport
FMCH,Prince Said Ibrahim International Airport
FMCI,Mohéli Bandar Es Eslam Airport
FMCN,Iconi Airport
FMCV,Ouani Airport
FMCZ,Dzaoudzi Pamandzi International Airport
FMEE,Roland Garros Airport
FMEP,Pierrefonds Airport
FMMC,Malaimbandy Airport
FMME,Antsirabe Airport
FMMG,Antsalova Airport
FMMH,Mahanoro Airport
FMMI,Antananarivo Arivonimamo Airport
FMMK,Ankavandra Airport
FMMK,Tsiroanomandidy Airport
FMML,Belo sur Tsiribihina Airport
FMMN,Miandrivazo Airport
FMMO,Maintirano Airport
FMMQ,Atsinanana Airport
FMMR,Morafenobe Airport
FMMS,Sainte Marie Airport
FMMT,Toamasina Airport
FMMU,Tambohorano Airport
FMMV,Morondava Airport
FMMX,Tsiroanomandidy Airport
FMMY,Vatomandry Airport
FMMZ,Ambatondrazaka Airport
FMNA,Arrachart Airport
FMNC,Mananara Nord Airport
FMND,Andapa Airport
FMNE,Ambilobe Airport
FMNF,Avaratra Airport
FMNG,Port Bergé Airport
FMNH,Antsirabato Airport
FMNJ,Ambanja Airport
FMNL,Analalava Airport
FMNM,Amborovy Airport
FMNN,Fascene Airport
FMNO,Soalala Airport
FMNP,Mampikony Airport
FMNQ,Besalampy Airport
FMNR,Maroantsetra Airport
FMNS,Sambava Airport
FMNT,Tsaratanana Airport
FMNV,Vohimarina Airport
FMNW,Ambalabe Airport
FMNX,Mandritsara Airport
FMSB,Antsoa Airport
FMSC,Mandabe Airport
FMSD,Tôlanaro Airport
FMSF,Fianarantsoa Airport
FMSG,Farafangana Airport
FMSI,Ihosy Airport
FMSJ,Manja Airport
FMSK,Manakara Airport
FMSL,Bekily Airport
FMSM,Mananjary Airport
FMSN,Samangoky Airport
FMSR,Morombe Airport
FMST,Toliara Airport
FMSV,Betioky Airport
FMSY,Ampanihy Airport
FMSZ,Ankazoabo Airport
FNAM,Ambriz Airport
FNBC,Mbanza Congo Airport
FNBG,Benguela Airport (Gen. V. Deslandes Airport)
FNCA,Cabinda Airport
FNCF,Cafunfo Airport
FNCH,Chitato Airport
FNCT,Catumbela Airport
FNCV,Cuito Cuanavale Airport
FNCX,Camaxilo Airport
FNCZ,Cazombo Airport
FNDU,Dundo Airport
FNGI,Ngjiva Pereira Airport
FNHU,Nova Lisboa Airport
FNKU,Kuito Airport
FNLU,Quatro De Fevereiro Airport
FNMA,Malanje Airport
FNME,Menongue Airport
FNMO,Namibe Airport
FNNG,Negage Airport
FNPA,Porto Amboim Airport
FNSA,Saurimo Airport
FNSO,Soyo Airport
FNSU,Sumbe Airport
FNUA,Luau Airport
FNUB,Lubango Airport
FNUE,Luena Airport
FNUG,Uige Airport
FNWK,Waco Kungo Airport
FNXA,Xangongo Airport
FNZE,N'Zeto Airport
FOGA,Akieni Airport
FOGB,Booue Airport
FOGE,Ndende Airport
FOGF,Fougamou Airport
FOGG,M'Bigou Airport
FOGI,Moabi Airport
FOGJ,Ville Airport
FOGK,Koulamoutou Airport
FOGM,Mouilla Ville Airport
FOGO,Oyem Airport
FOGQ,Okondja Airport
FOGR,Lambarene Airport
FOGV,Minvoul Airport
FOOB,Bitam Airport
FOOD,Moanda Airport
FOOE,Mekambo Airport
FOOG,Port Gentil Airport
FOOH,Omboue Hopital Airport
FOOK,Makokou Airport
FOOL,Leon M'Ba International Airport
FOOM,Mitzic Airport
FOON,M'Vengue El Hadj Omar Bongo Ondimba International Airport
FOOR,Lastourville Airport
FOOS,Sette Cama Airport
FOOT,Tchibanga Airport
FOOY,Mayumba Airport
FPPR,Principe Airport
FPST,São_Tomé_International_Airport
FQAG,Angoche Airport
FQBR,Beira Airport
FQCB,Cuamba Airport
FQCH,Chimoio Airport
FQIA,Inhaca Airport
FQIN,Inhambane Airport
FQLC,Lichinga Airport
FQLU,Lumbo Airport
FQMA,Maputo International Airport
FQMD,Mueda Airport
FQMP,Moçimboa da Praia Airport
FQNC,Nacala Airport
FQNP,Nampula Airport
FQPB,Pemba Airport
FQQL,Quelimane Airport
FQTT,Chingozi Airport
FQVL,Vilankulo Airport
FQXA,Xai-Xai Airport
FSDR,Desroches Airport
FSIA,Seychelles International Airport
FSSB,Bird Island Airport
FSSD,Denis Island Airport
FTTA,Sarh Airport
FTTB,Bongor Airport
FTTC,Abéché Airport
FTTD,Moundou Airport
FTTH,Lai Airport
FTTI,Ati Airport
FTTJ,N'Djamena Airport
FTTK,Bokoro Airport
FTTL,Bol Airport
FTTM,Mongo Airport
FTTN,Am Timan Airport
FTTP,Pala Airport
FTTS,Bousso Airport
FTTU,Mao Airport
FTTY,Faya Largeau Airport
FVBU,Joshua Mqabuko Nkomo International Airport
FVCH,Chipinge Airport
FVCZ,Buffalo Range Airport
FVFA,Victoria Falls Airport
FVHA,Harare International Airport
FVKB,Kariba International Airport
FVMU,Mutare Airport
FVMV,Masvingo International Airport
FVTL,Thornhill Air Base
FVWN,Hwange National Park Airport
FVWT,Hwange Airport
FWCD,Chelinda Airport
FWCL,Chileka International Airport
FWCM,Club Makokola Airport
FWDW,Dwangwa Airport
FWKA,Karonga Airport
FWKG,Kasungu Airport
FWKI,Lilongwe International Airport
FWLK,Likoma Island Airport
FWMG,Mangochi Airport
FWMY,Monkey Bay Airport
FWSM,Salima Airport
FWUU,Mzuzu Airport
FXLK,Lebakeng Airport
FXLR,Leribe Airport
FXLS,Lesobeng Airport
FXMF,Mafeteng Airport
FXMK,Mokhotlong Airport
FXMM,Moshoeshoe I International Airport
FXNK,Nkaus Airport
FXPG,Pelaneng Airport
FXQG,Quthing Airport
FXQN,Qacha's Nek Airport
FXSH,Sehonghong Airport
FXSK,Sekakes Airport
FXSM,Semonkong Airport
FXSS,Seshutes Airport
FXTA,Thaba-Tseka Airport
FXTK,Tlokoeng Airport
FYAR,Arandis Airport
FYGB,Gobabis Airport
FYGF,Grootfontein Airport
FYHI,Halali Airport
FYKM,Katima Mulilo Airport
FYKT,Keetmanshoop Airport
FYLZ,Luderitz Airport
FYMO,Mokuti Lodge Airport
FYNA,Namutoni Airport
FYOA,Ondangwa Airport
FYOE,Omega Airport
FYOG,Oranjemund Airport
FYOO,Okaukuejo Airport
FYRU,Rundu Airport
FYSM,Swakopmund Airport
FYTM,Tsumeb Airport
FYWB,Walvis Bay Airport
FYWE,Eros Airport
FYWH,Windhoek Hosea Kutako International Airport
FZAA,Kinshasa International Airport (N'Djili International Airpor
FZAB,Ndolo Airport
FZAG,Muanda Airport
FZAJ,Boma Airport
FZAL,Luozi Airport
FZAM,Tshimpi Airport
FZAR,Nkolo Fuma Airport
FZBA,Inongo Airport
FZBI,Nioki Airport
FZBO,Bandundu Airport
FZBT,Basango Mboliasa Airport
FZCA,Kikwit Airport
FZCB,Idiofa Airport
FZCE,Lusanga Airport
FZCV,Masi Manimba Airport
FZEA,Mbandaka Airport
FZEN,Basankusu Airport
FZFA,Libenge Airport
FZFD,Gbadolite Airport
FZFK,Gemena Airport
FZFP,Kotakoli Airport
FZFU,Bumbar Airport
FZGA,Lisala Airport
FZGN,Boende Airport
FZGV,Ikela Airport
FZIC,Bangoka International Airport
FZIR,Yangambi Airport
FZJH,Matari Airport
FZKA,Bunia Airport
FZKJ,Buta Zega Airport
FZMA,Kuvumu Airport
FZNA,Goma International Airport
FZNP,Beni Airport
FZOA,Kindu Airport
FZOD,Kinkungwa Airport
FZOP,Punia Airport
FZQA,Lubumbashi International Airport
FZQC,Pweto Airport
FZQG,Kasenga Airport
FZQM,Kolwezi Airport
FZRA,Manono Airport
FZRB,Moba Airport
FZRF,Kalemie Airport
FZRM,Kabalo Airport
FZRQ,Kongolo Airport
FZSA,Kamina Base Airport
FZSK,Kapanga Airport
FZTK,Kaniama Airport
FZUA,Kananga Airport
FZUG,Luiza Airport
FZUK,Tshikapa Airport
FZVA,Lodja Airport
FZVI,Lusambo Airport
FZVM,Mweka Airport
FZVR,Basongo Airport
FZVS,Ilebo Airport
FZWA,Mbuji Mayi Airport
FZWC,Gandajika Airport
FZWT,Tunta Airport
GABS,Senou International Airport
GAGM,Goundam Airport
GAGO,Gao Airport
GAKA,Kenieba Airport
GAKO,Koutiala Airport
GAKY,Kayes Dag Dag Airport
GAMB,Ambodedjo Airport
GANK,Nara Airport
GANR,Nioro du Sahel Airport
GASK,Sikasso Airport
GATB,Timbuktu Airport
GAYE,Yélimané Airport
GBYD,Banjul International Airport
GCFV,El Matorral Airport
GCGM,La Gomera Airport
GCHI,Hierro Airport
GCLA,La Palma Airport
GCLP,Gran Canaria International Airport
GCRR,Lanzarote Airport
GCTS,Tenerife South Airport (Reina Sofia)
GCXO,Tenerife North Airport (Los Rodeos)
GEML,Melilla Airport
GFBN,Bonthe Airport
GFLL,Lungi International Airport
GGBU,Bubaque Airport
GGOV,Osvaldo Vieiro International Airport
GLBU,Buchanan Airport
GLCP,Cape Palmas Airport
GLGE,Greenville Sinoe Airport
GLLB,Lamco Airport
GLMR,Spriggs Payne Airport
GLNA,Nimba Airport
GLRB,Roberts International Airport
GLST,Sasstown Airport
GLTN,Tchien Airport
GLVA,Voinjama Airport
GMAD,Al Massira Airport
GMAT,Tan Tan Airport {Plage Blanche Airport)
GMAZ,Zagora Airport
GMFB,Bouarfa Airport
GMFF,Saïss Airport
GMFK,Moulay Ali Cherif Airport
GMFM,Bassatine Airport
GMFO,Oujda Angads Airport
GMMA,Smara Airport
GMMB,Ben Slimane Airport
GMMC,Anfa Airport
GMME,Sale Airport
GMMF,Sania Ramel Airport
GMMH,Dakhla Airport
GMMI,Mogador Airport
GMML,Hassan I Airport
GMMN,Mohammed V International Airport
GMMS,Safi Airport
GMMW,Arwi Airport
GMMX,Menara International Airport
GMMY,Kenitra Airport
GMMZ,Ouarzazate Airport
GMSH,Kent International Airport
GMTA,Charif Al ldrissi Airport
GMTN,Sania Ramel
GMTT,Ibn Batouta International Airport
GNU,Goodnews Airport
GODK,Kolda North Airport
GOGG,Ziguinchor Airport
GOGK,Kolda North Airport
GOGS,Cap Skirring Airport
GOOK,Kaolack Airport
GOOY,Dakar-Yoff-Léopold Sédar Senghor International Airport
GOSM,Ouro Sogui Airport
GOSP,Podor Airport
GOSR,Richard Toll Airport
GOSS,Saint Louis Airport
GOTB,Bakel Airport
GOTK,Kédougou Airport
GOTS,Simenti Airport
GOTT,Tambacounda Airport
GQNA,Aioun El Atrouss Airport
GQNB,Boutilimit Airport
GQNC,Tichitt Airport
GQND,Tidjikja Airport
GQNE,Abbaye Airport
GQNF,Kiffa Airport
GQNH,Timbedra Airport
GQNI,Néma Airport
GQNJ,Akjoujt Airport
GQNK,Kaédi Airport
GQNL,Letfotar Airport
GQNN,Nouakchott International Airport
GQNS,Sélibaby Airport
GQNT,Tamchakett Airport
GQPA,Atar International Airport
GQPF,Fderik Airport
GQPP,Nouadhibou International Airport
GQPZ,Tazadit Airport
GUCY,Gbessia Airport
GUFA,Fria Airport
GUFH,Faranah Airport
GUKU,Kissidougou Airport
GULB,Labe Airport
GUMA,Macenta Airport
GUNZ,Nzerekore Airport
GUOK,Boké Airport
GUSB,Sambailo Airport
GUSI,Siguiri Airport
GUXN,Kankan Airport
GVAC,Amilcar Cabral International Airport
